Epoch,Batch,LossD,LossG,LossG_recon,MSE,PSNR,SSIM
2,85,1.33143,1.02331,0.03207,0.0191,24.4899,0.8981
2,86,1.32616,1.10763,0.03382,0.0232,25.1653,0.8922
2,87,1.16000,1.44622,0.03539,0.0266,24.7586,0.8951
2,88,1.30713,1.01624,0.02494,0.0154,27.9464,0.9144
2,89,1.21117,1.40380,0.02706,0.0136,26.4899,0.8853
2,90,1.21119,1.18358,0.03035,0.0177,24.9292,0.8841
2,91,1.06358,1.21560,0.02687,0.0147,25.8159,0.8899
2,92,1.22446,1.21074,0.03817,0.0235,24.8874,0.8824
2,93,1.40037,1.25024,0.03957,0.0236,24.5789,0.8837
2,94,1.34603,1.12822,0.03397,0.0236,25.1166,0.9008
2,95,1.36666,1.06997,0.03706,0.0268,25.1456,0.8944
2,96,1.34959,1.01595,0.02657,0.0157,27.3183,0.9066
2,97,1.24574,1.12269,0.02934,0.0190,25.4837,0.9076
2,98,1.20743,1.45207,0.04040,0.0290,23.5746,0.8733
2,99,1.17749,1.33100,0.03258,0.0216,25.4044,0.8934
2,100,1.29824,1.22647,0.03410,0.0240,24.2468,0.8913
2,101,1.32549,1.17465,0.04413,0.0323,22.9137,0.8808
2,102,1.38905,0.91641,0.02272,0.0124,27.7594,0.9171
2,103,1.35495,1.18290,0.03864,0.0282,24.5044,0.8849
2,104,1.34967,1.10651,0.02215,0.0127,28.9602,0.9166
2,105,1.22591,1.29997,0.02404,0.0130,26.1745,0.9064
2,106,1.41135,1.05863,0.03661,0.0253,24.5815,0.8834
2,107,1.38029,0.96631,0.02547,0.0142,26.9912,0.9058
2,108,1.23598,1.09750,0.02533,0.0144,25.4783,0.9113
2,109,1.23047,1.14454,0.02307,0.0122,29.1921,0.9106
2,110,1.31640,1.14299,0.02763,0.0186,27.6693,0.9096
2,111,1.34262,1.05561,0.03404,0.0232,24.9185,0.8968
2,112,1.25936,1.06812,0.02398,0.0135,26.4640,0.9171
2,113,1.25594,1.37672,0.04192,0.0300,24.0128,0.8779
2,114,1.38070,1.04038,0.02761,0.0175,26.8402,0.9095
2,115,1.36429,0.99203,0.02565,0.0142,26.9780,0.9133
2,116,1.39269,1.05440,0.03763,0.0247,24.5769,0.8771
2,117,1.38449,0.91886,0.01922,0.0090,28.3398,0.9227
2,118,1.35114,1.10384,0.03387,0.0237,25.7362,0.8941
2,119,1.34277,0.95788,0.02168,0.0117,27.1332,0.9175
2,120,1.20318,1.19782,0.02939,0.0182,24.7421,0.8988
2,121,1.39504,1.18783,0.03853,0.0258,23.2329,0.8801
2,122,1.40750,1.00445,0.02187,0.0115,28.3406,0.9220
2,123,1.35357,1.05673,0.03113,0.0201,26.0224,0.8980
2,124,1.27230,1.12253,0.02568,0.0132,27.8271,0.9051
2,125,1.28473,1.04027,0.02488,0.0137,26.4105,0.9035
2,126,1.33283,0.91657,0.02121,0.0119,27.6051,0.9224
2,127,1.15226,1.29093,0.03007,0.0197,26.1066,0.8972
2,128,1.11509,1.21134,0.02239,0.0107,27.5954,0.9192
2,129,1.31426,1.04553,0.02468,0.0133,26.7620,0.9143
2,130,1.20217,1.21385,0.02682,0.0137,25.9909,0.8974
2,131,1.34398,1.10370,0.03377,0.0214,24.7893,0.8942
