Epoch,Batch,MSE,PSNR,SSIM
15,21,0.0460,13.5325,0.7839
15,22,0.0456,13.3650,0.8299
15,23,0.0586,13.0250,0.7534
15,24,0.0541,12.9166,0.8433
15,25,0.0447,13.4018,0.7501
16,1,0.0593,12.8502,0.6955
16,2,0.0498,13.1686,0.7510
16,3,0.0532,12.7429,0.8249
16,4,0.0436,13.4337,0.8161
16,5,0.0518,12.9302,0.7925
16,6,0.0524,12.9823,nan
16,7,0.0440,13.5331,0.8737
16,8,0.0439,13.8972,0.8543
16,9,0.0545,12.9580,0.8228
16,10,0.0432,13.7814,0.8790
16,11,0.0502,13.2703,0.8391
16,12,0.0581,12.4764,0.8824
16,13,0.0571,13.1071,0.8493
16,14,0.0432,13.8531,0.8128
16,15,0.0572,12.6980,0.7807
16,16,0.0405,14.1031,0.8732
16,17,0.0410,13.7933,0.8563
16,18,0.0411,13.8977,0.8721
16,19,0.0582,13.0034,0.7664
16,20,0.0568,12.8586,0.8761
16,21,0.0743,11.8725,0.7663
16,22,0.0525,12.7851,0.7890
16,23,0.0444,13.6297,0.8047
16,24,0.0510,13.2212,0.7025
16,25,0.0494,13.4466,0.7569
17,1,0.0463,13.5058,0.8680
17,2,0.0576,12.8304,0.8143
17,3,0.0449,13.4068,0.8301
17,4,0.0467,13.2787,0.8245
17,5,0.0512,13.4060,0.8166
17,6,0.0528,13.4651,0.7723
17,7,0.0581,12.6939,nan
17,8,0.0573,13.0055,0.7219
17,9,0.0490,13.2579,0.8617
17,10,0.0559,12.7656,0.8006
17,11,0.0467,13.2246,0.8375
17,12,0.0471,13.1667,0.8120
17,13,0.0424,13.8332,0.7990
17,14,0.0465,13.4783,0.8849
17,15,0.0475,13.2056,0.8803
17,16,0.0381,14.2797,0.8869
17,17,0.0615,13.0129,0.8111
17,18,0.0548,12.6125,0.7972
17,19,0.0545,13.3287,0.8176
17,20,0.0505,13.3132,0.8060
17,21,0.0650,12.1568,0.7801
17,22,0.0718,11.8039,0.7498
17,23,0.0537,12.7639,0.6545
17,24,0.0647,12.0464,0.7905
17,25,0.0511,13.0365,0.8055
