Epoch,Batch,MSE,PSNR,SSIM
23,22,0.0347,24.0454,0.8782
23,23,0.0709,22.6270,0.8759
23,24,0.0301,26.5734,0.9205
23,25,0.0511,25.6935,0.9188
24,1,0.0490,25.9085,0.9130
24,2,0.0301,25.5479,0.8639
24,3,0.0989,24.5424,0.8846
24,4,0.0206,25.7857,0.9230
24,5,0.0405,24.6208,nan
24,6,0.0521,24.5744,0.9397
24,7,0.0248,25.7523,0.8851
24,8,0.0459,26.5765,0.9615
24,9,0.0817,19.8622,0.8741
24,10,0.0484,25.3625,0.9511
24,11,0.0719,25.5006,0.9156
24,12,0.0551,24.3444,0.9383
24,13,0.0777,25.7523,0.9173
24,14,0.0322,26.9802,0.9488
24,15,0.0584,25.5501,0.8764
24,16,0.0168,27.1622,0.9667
24,17,0.0358,26.4236,0.9302
24,18,0.0426,25.8240,0.9407
24,19,0.0840,23.2785,nan
24,20,0.0645,24.1381,0.8961
24,21,0.0834,24.3536,0.8290
24,22,0.0437,24.5892,0.9058
24,23,0.0586,26.3525,0.8756
24,24,0.0690,22.8748,0.9375
24,25,0.0327,25.7074,0.8953
25,1,0.0342,26.3696,nan
25,2,0.0332,27.7275,0.9199
25,3,0.0551,27.1233,0.8826
25,4,0.0250,27.4733,0.9167
25,5,0.0985,25.0804,0.9005
25,6,0.0457,22.3142,0.9029
25,7,0.0488,26.3747,nan
25,8,0.0295,26.1525,0.9160
25,9,0.0720,24.0570,0.8642
25,10,0.0408,22.1881,0.8999
25,11,0.0745,23.4963,0.9199
25,12,0.0504,22.1088,0.8393
25,13,0.0701,22.3981,0.8697
25,14,0.1254,22.1193,0.9216
25,15,0.0629,23.0946,0.8882
25,16,0.0222,25.5533,0.9137
25,17,0.0213,26.8921,0.9438
25,18,0.0592,26.5366,0.9740
25,19,0.0276,25.4940,0.9286
25,20,0.0413,27.3600,0.9557
25,21,0.1174,23.3197,0.8973
25,22,0.0307,26.5136,0.9446
25,23,0.0922,23.8521,0.9185
