Epoch,Batch,MSE,PSNR,SSIM
25,2,0.0710,11.9165,0.7565
25,3,0.0509,12.7638,0.7527
25,4,0.0540,12.9647,0.8088
25,5,0.0430,13.9816,0.8700
25,6,0.0463,14.0233,0.8314
25,7,0.0425,15.0437,0.8388
25,8,0.0445,14.4173,0.9125
25,9,0.0825,12.4263,0.7671
25,10,0.0742,12.4908,0.7366
25,11,0.0603,12.9935,0.8203
25,12,0.0613,12.5266,0.7413
25,13,0.0618,12.2381,0.8698
25,14,0.0514,12.8269,0.7631
25,15,0.0382,14.1527,nan
25,16,0.0582,13.1735,0.8090
25,17,0.0598,13.4157,0.7213
25,18,0.0428,14.4052,0.8503
25,19,0.0744,12.4150,0.7809
25,20,0.0745,11.9691,0.7373
25,21,0.0450,13.8751,0.8424
25,22,0.0395,14.3487,0.8354
25,23,0.0663,12.6731,0.8568
25,24,0.0469,13.3782,0.7555
25,25,0.0528,13.1078,0.6931
26,1,0.0470,13.7833,0.8558
26,2,0.0623,13.0005,nan
26,3,0.0549,13.1160,0.7968
26,4,0.0375,14.3856,0.8828
26,5,0.0642,13.0617,0.8022
26,6,0.0550,13.9454,0.8631
26,7,0.0487,14.2084,0.8053
26,8,0.0525,14.4951,0.7668
26,9,0.0316,15.6472,0.9062
26,10,0.0521,14.3456,0.8158
26,11,0.0757,12.8216,0.7363
26,12,0.0451,14.0526,0.7823
26,13,0.0449,14.1764,0.9041
26,14,0.0358,14.3646,nan
26,15,0.0496,13.7132,0.8079
26,16,0.0416,14.2920,0.8787
26,17,0.0432,14.8679,0.8862
26,18,0.0519,14.3449,0.8013
26,19,0.0715,12.7098,0.7667
26,20,0.0722,13.1491,0.7720
26,21,0.0442,14.1420,0.8645
26,22,0.0442,14.0812,0.8686
26,23,0.0461,13.5540,0.8505
26,24,0.0661,12.2807,0.8130
26,25,0.0454,13.6496,0.8255
27,1,0.0483,13.5609,0.7929
27,2,0.0427,14.3740,0.8011
27,3,0.0683,12.9853,0.8390
27,4,0.0459,13.8963,0.8047
27,5,0.0449,14.0468,0.8301
27,6,0.0490,14.2122,0.8318
27,7,0.0464,13.8836,0.8085
27,8,0.0438,13.9755,0.7802
27,9,0.0384,14.6457,0.8088
27,10,0.0433,14.6294,0.7780
27,11,0.0500,13.8605,0.7856
27,12,0.0680,12.8880,0.7310
27,13,0.0569,14.0100,0.8719
27,14,0.0455,13.5224,0.8640
27,15,0.0633,12.4235,0.7397
27,16,0.0470,13.6034,0.8054
27,17,0.0377,14.6740,0.8283
27,18,0.0352,14.8809,0.8539
27,19,0.0460,14.7786,0.8778
27,20,0.0555,14.3787,0.8432
27,21,0.0700,13.5476,0.7898
27,22,0.0575,14.2608,0.8063
27,23,0.0522,13.6871,0.8186
27,24,0.0343,15.0083,0.8067
27,25,0.0332,15.0047,0.8851
28,1,0.0533,13.2164,0.8235
28,2,0.0560,13.4303,0.7674
28,3,0.0368,14.6862,0.8188
28,4,0.0666,12.6350,0.7328
28,5,0.0462,14.5127,0.7562
